feature,psi
loc_study_dur_mean,3.097320621136345
loc_study_dur_std,1.6809253783237215
loc_self_dorm_dur_mean,1.0277030518745462
loc_self_dorm_dur_std,0.793193336026023
loc_social_dur_std,0.7928292189410671
loc_social_dur_mean,0.7818459894145738
unlock_num_ep_0_mean,0.40709691323605224
act_still_ep_0_mean,0.28432146270769637
unlock_num_ep_0_std,0.24181054807720542
act_in_vehicle_ep_0_mean,0.20464855633689555
act_in_vehicle_ep_0_std,0.15013719653960372
act_still_ep_0_std,0.08841428268759713
other_playing_duration_ep_0_mean,0.08775652108649251
sleep_duration_mean,0.07986176424599423
unlock_duration_ep_0_std,0.0741768619099839
label_lag1,0.07244483974026814
unlock_duration_ep_0_mean,0.06770496082816035
other_playing_duration_ep_0_std,0.04294794470689019
act_on_bike_ep_0_mean,0.03295040606036885
act_on_bike_ep_0_std,0.032505809471564645
sleep_duration_std,0.01913998249273728
n_surveys_in_week,0.00294382062618994
is_ios,0.0
